Channel,n,budget,impr,clicks,conv,revenue,pct_budget,pct_conv,CTR,CVR,CPC,CPA,ROI,ROAS
Email,12,16123.04,3198902,210838,11308,362300.48,5.920184739561904,13.896842855562793,6.5909490193822755,5.363359546191863,0.07647122435234635,1.4258082773257872,21.47097817781262,22.47097817781262
Social,16,90059.09,10973990,510704,48811,897120.8200000001,33.06860556550328,59.98574430693982,4.6537676815816305,9.557591089946428,0.17634302844700647,1.8450572616828174,8.961468853393923,9.961468853393923
Online,14,60423.94,4805737,204531,11836,910778.87,22.186937915691093,14.545722677612417,4.255975722350183,5.7868978296688525,0.2954268057164929,5.105098006083137,14.073146008022647,15.073146008022647
In-Store,11,45100.71,2487577,40841,6625,220746.26,16.560433707626288,8.14172125204311,1.641798424732179,16.221444137019173,1.1042998457432482,6.807654339622641,3.8945185120145562,4.894518512014556
TV,7,60633.37,2579017,34821,2791,486429.51,22.26383807161742,3.42996890784186,1.350165586345495,8.015278136756555,1.7412874414864594,21.72460408455751,7.022471949027408,8.022471949027409
